type,source,translation,locked,total_count,book_count,category,status
character,게이블,蓋博,True,0,0,,manual_locked
character,리그로우,里格勞,True,0,0,,manual_locked
character,리차드,理查,True,0,0,,manual_locked
character,리차드 타튼,理查・塔騰,True,0,0,,manual_locked
character,리타,麗塔,True,0,0,,manual_locked
character,일라이,伊萊,True,0,0,,manual_locked
character,일라이 리그로우,伊萊・里格勞,True,0,0,,manual_locked
character,정재의,鄭載義,True,0,0,,manual_locked
character,정창인,鄭昌仁,True,0,0,,manual_locked
character,정태의,鄭泰義,True,0,0,,manual_locked
character,카일,凱爾,True,0,0,,manual_locked
character,카일 리그로우,凱爾・里格勞,True,0,0,,manual_locked
character,정태의는,,False,4699,6,,auto
character,않았다,,False,970,6,,auto
character,정태의가,,False,944,6,,auto
character,고개를,,False,877,6,,auto
character,정태의의,,False,875,6,,auto
character,말을,,False,833,6,,auto
character,그렇게,,False,698,6,,auto
character,정태의를,,False,629,6,,auto
character,그의,,False,596,6,,auto
character,하는,,False,523,6,,auto
character,같은,,False,518,6,,auto
character,있던,,False,497,6,,auto
character,있을,,False,454,6,,auto
character,라고,,False,435,6,,auto
character,얼굴로,,False,419,6,,auto
character,남자는,,False,418,6,,auto
character,그가,,False,400,6,,auto
character,하나,,False,391,6,,auto
character,않은,,False,367,6,,auto
character,해도,,False,362,6,,auto
character,없이,,False,360,6,,auto
character,무슨,,False,358,6,,auto
character,남자가,,False,346,6,,auto
character,순간,,False,341,6,,auto
character,한숨을,,False,328,6,,auto
character,하지,,False,316,6,,auto
character,바로,,False,313,6,,auto
character,잠시,,False,546,5,,auto
character,다른,,False,539,5,,auto
character,내가,,False,473,5,,auto
character,것도,,False,448,5,,auto
character,그래,,False,444,5,,auto
character,얼굴을,,False,442,5,,auto
character,중얼거렸다,,False,436,5,,auto
character,문득,,False,400,5,,auto
character,자신의,,False,400,5,,auto
character,사람이,,False,385,5,,auto
character,그를,,False,366,5,,auto
character,입을,,False,358,5,,auto
character,않고,,False,353,5,,auto
character,같았다,,False,349,5,,auto
character,거다,,False,347,5,,auto
character,보니,,False,338,5,,auto
character,그래도,,False,307,5,,auto
character,그냥,,False,292,5,,auto
character,사람을,,False,288,5,,auto
character,갑자기,,False,278,5,,auto
character,역시,,False,247,5,,auto
character,일레이는,,False,711,4,,auto
character,일레이가,,False,424,4,,auto
character,일레이의,,False,344,4,,auto
character,신루는,,False,290,4,,auto
character,보고,,False,273,4,,auto
character,몸을,,False,266,4,,auto
character,이렇게,,False,256,4,,auto
character,보면,,False,253,4,,auto
character,지금,,False,244,4,,auto
character,자신이,,False,234,4,,auto
character,시선을,,False,218,4,,auto
character,말았다,,False,211,4,,auto
character,뭔가,,False,200,4,,auto
character,알고,,False,198,4,,auto
character,숙부는,,False,308,3,,auto
character,일레이를,,False,216,3,,auto
character,않는,,False,194,3,,auto
character,어느,,False,190,3,,auto
character,그런데,,False,179,3,,auto
character,만한,,False,176,3,,auto
character,천천히,,False,176,3,,auto
character,전에,,False,170,3,,auto
character,게다가,,False,164,3,,auto
character,생각을,,False,161,3,,auto
character,동안,,False,160,3,,auto
character,혀를,,False,159,3,,auto
character,같이,,False,140,3,,auto
character,말이,,False,132,3,,auto
character,남자의,,False,124,3,,auto
character,걸음을,,False,123,3,,auto
character,머리를,,False,113,3,,auto
character,약간,,False,110,3,,auto
character,정도로,,False,106,3,,auto
character,숙부가,,False,140,2,,auto
character,신루가,,False,128,2,,auto
character,일이,,False,125,2,,auto
character,신루의,,False,124,2,,auto
character,어쩌면,,False,121,2,,auto
character,어떻게,,False,118,2,,auto
character,네가,,False,112,2,,auto
character,없다,,False,112,2,,auto
character,책을,,False,108,2,,auto
character,그럼,,False,103,2,,auto
character,생각해,,False,101,2,,auto
character,소리가,,False,99,2,,auto
character,여전히,,False,62,2,,auto
character,이제,,False,61,2,,auto
character,목소리가,,False,60,2,,auto
character,이야기를,,False,59,2,,auto
character,않을,,False,56,2,,auto
character,제대로,,False,56,2,,auto
character,거의,,False,55,2,,auto
character,카일은,,False,131,1,,auto
character,게이블은,,False,105,1,,auto
character,유럽,,False,93,1,,auto
character,숙부의,,False,77,1,,auto
character,지부,,False,77,1,,auto
character,리그로우는,,False,70,1,,auto
character,보았다,,False,69,1,,auto
character,놈이,,False,63,1,,auto
character,정말로,,False,63,1,,auto
character,신루를,,False,62,1,,auto
character,잠깐,,False,61,1,,auto
character,모러는,,False,59,1,,auto
character,좋은,,False,59,1,,auto
character,태이,,False,55,1,,auto
character,손에,,False,54,1,,auto
character,기분이,,False,53,1,,auto
character,손이,,False,53,1,,auto
character,일레이,,False,52,1,,auto
character,합동,,False,51,1,,auto
character,않아,,False,50,1,,auto
character,정창인은,,False,50,1,,auto
character,그대로,,False,49,1,,auto
character,생각이,,False,49,1,,auto
character,전화를,,False,49,1,,auto
character,하면,,False,49,1,,auto
character,그러다가,,False,46,1,,auto
character,오래,,False,45,1,,auto
character,시선이,,False,44,1,,auto
character,카일이,,False,44,1,,auto
character,박준우는,,False,40,1,,auto
character,박준우가,,False,15,1,,auto
character,박준우의,,False,12,1,,auto
character,어쩐지,,False,11,1,,auto
character,휴가를,,False,11,1,,auto
character,남자를,,False,10,1,,auto
character,박준우를,,False,10,1,,auto
character,대단히,,False,9,1,,auto
character,상관이,,False,9,1,,auto
character,굳이,,False,8,1,,auto
character,마음에,,False,8,1,,auto
character,문제가,,False,8,1,,auto
character,상관은,,False,8,1,,auto
character,휴가,,False,8,1,,auto
character,괜찮아요,,False,7,1,,auto
character,늘어져,,False,7,1,,auto
character,동양인이,,False,7,1,,auto
character,두고,,False,7,1,,auto
character,몹시,,False,7,1,,auto
character,빌어먹을,,False,7,1,,auto
character,아무리,,False,7,1,,auto
character,애인,,False,7,1,,auto
character,일도,,False,7,1,,auto
character,저도,,False,7,1,,auto
character,청년은,,False,7,1,,auto
character,그때,,False,6,1,,auto
character,때문에,,False,6,1,,auto
character,매우,,False,6,1,,auto
character,모르게,,False,6,1,,auto
character,수도,,False,6,1,,auto
character,어차피,,False,6,1,,auto
character,없어,,False,6,1,,auto
character,위에,,False,6,1,,auto
glossary,VIP,VIP,True,0,0,abbreviation,manual_locked
glossary,CIA,CIA,True,0,0,organization,manual_locked
glossary,PASSION,,False,2,1,abbreviation,auto
glossary,UNH,,False,2,1,abbreviation,auto
glossary,UNHR,,False,2,1,abbreviation,auto
glossary,UNHRD,,False,2,1,abbreviation,auto
glossary,UNHRDO,,False,64,5,organization,manual_unlocked
